A0,27.5
A#0,29.13523509
B0,30.86770633
C1,32.70319566
C#1,34.64782887
D1,36.70809599
D#1,38.89087297
E1,41.20344461
F1,43.65352893
F#1,46.24930284
G1,48.9994295
G#1,51.9130872
A1,55
A#1,58.27047019
B1,61.73541266
C2,65.40639133
C#2,69.29565774
D2,73.41619198
D#2,77.78174593
E2,82.40688923
F2,87.30705786
F#2,92.49860568
G2,97.998859
G#2,103.8261744
A2,110
A#2,116.5409404
B2,123.4708253
C3,130.8127827
C#3,138.5913155
D3,146.832384
D#3,155.5634919
E3,164.8137785
F3,174.6141157
F#3,184.9972114
G3,195.997718
G#3,207.6523488
A3,220
A#3,233.0818808
B3,246.9416506
C4,261.6255653
C#4,277.182631
D4,293.6647679
D#4,311.1269837
E4,329.6275569
F4,349.2282314
F#4,369.9944227
G4,391.995436
G#4,415.3046976
A4,440
A#4,466.1637615
B4,493.8833013
C5,523.2511306
C#5,554.365262
D5,587.3295358
D#5,622.2539674
E5,659.2551138
F5,698.4564629
F#5,739.9888454
G5,783.990872
G#5,830.6093952
A5,880
A#5,932.327523
B5,987.7666025
C6,1046.502261
C#6,1108.730524
D6,1174.659072
D#6,1244.507935
E6,1318.510228
F6,1396.912926
F#6,1479.977691
G6,1567.981744
G#6,1661.21879
A6,1760
A#6,1864.655046
B6,1975.533205
C7,2093.004522
C#7,2217.461048
D7,2349.318143
D#7,2489.01587
E7,2637.020455
F7,2793.825851
F#7,2959.955382
G7,3135.963488
G#7,3322.437581
A7,3520
A#7,3729.310092
B7,3951.06641
C8,4186.009045
